country_code,country,year,agriculture_pct_gdp,atms_per_100k_adults,gdp_per_capita_current_usd,gdp_per_capita_ppp_constant,gini_index,govt_effectiveness_estimate,govt_revenue_pct_gdp,inflation_cpi_annual_pct,internet_users_pct,life_expectancy,mobile_subscriptions_per100,population,remittance_inflows_usd,remittance_outflows_usd,bank_branches_per_100k,official_exchange_rate_lcu_per_usd,broad_money_pct_gdp,deposit_interest_rate_pct,domestic_credit_private_pct_gdp,gdp_growth_annual_pct,gross_savings_pct_gdp,gross_savings_pct_gni,lending_interest_rate_pct,real_interest_rate_pct,export_value_index,import_value_index,risk_premium_on_lending_pct,terms_of_trade_index,current_account_pct_gdp,fdi_net_inflows_pct_gdp,govt_expenditure_pct_gdp,ppp_conversion_factor,tax_revenue_pct_gdp,trade_openness_pct_gdp
THA,Thailand,2017,8.40641258665047,114.271426965292,6413.09182530343,20094.6778762603,36.4,0.257845818996429,1.98604658054045e-08,0.665631893135106,52.8919,76.989,170.784,71160187.0,6720117053.70658,4396768857.84786,11.5058382885975,33.9398110566858,124.04474007571,1.28916187722766,112.084069145579,4.1776810321001,34.7707329696093,31.9424672317789,4.41658283333333,2.46971462408852,110.4,109.3,3.08408283333333,100.7,9.6310301918214,1.81550260101987,19.122663547864,12.3857574462891,1.55187398280446e-08,120.891427433638
THA,Thailand,2018,8.20181926195524,113.997584041976,7099.77650081458,20879.9027821449,36.4,0.254539996385574,2.01769525877336e-08,1.06389754183024,56.8175,77.19,175.266,71376079.0,7466081911.79321,4923627285.38676,11.3507152248298,32.3102257431458,122.819408351734,1.2875,112.137542156366,4.22287028746071,34.9375200898192,31.6865849444729,4.14666666666667,2.67979728915769,118.0,122.5,2.8425,98.5,5.61986314598972,2.71279835138662,19.0196942606136,12.1526117324829,1.56981581342307e-08,120.841864730984
THA,Thailand,2019,8.1285680400948,111.708390886987,7605.69657797759,21277.8392684764,34.9,0.260609537363052,2.0004122899693e-08,0.706728601314311,66.6524,77.197,181.222,71522271.0,7784589348.5459,8449251256.34632,10.9073727403906,31.0476057805499,123.398633941482,1.41666666666667,111.287330112966,2.11455779628278,34.0568401983424,31.5155064013965,4.08416666666667,3.03891578719485,114.9,116.6,2.53083333333334,98.6,7.04854832033553,1.01734877580041,18.6665827342784,11.8285846710205,1.53979482181899e-08,109.689514715166
THA,Thailand,2020,8.70285214673554,108.593753398868,6985.64393892574,19957.257140917,35.0,0.201812535524368,2.00658736824442e-08,-0.845937147357041,77.8437,77.331,162.328,71641484.0,7873436750.46079,6923409430.05377,10.2796352491376,31.2936732130832,146.593528837574,0.621666666666667,125.42777388134,-6.05003846851622,29.1575126214052,28.0429223686544,3.2925,4.65169004750105,108.1,101.7,2.68916666666667,101.5,4.14262484721343,-0.857989527274493,22.8313574596558,11.4072952270508,1.51931521673405e-08,97.8007432465178
THA,Thailand,2021,8.69291293050797,105.02114530224,7057.20754802279,20242.7700035656,34.9,0.220056802034378,1.92271589148121e-08,1.23039541318384,85.2696,77.606,168.485,71727332.0,8679453300.97726,6591416730.96505,9.37170450853131,31.9770934417717,148.651147845611,0.405833333333333,126.775342478611,1.55216608426647,29.525144016971,27.4646826657448,3.06,1.2628955644913,126.9,131.7,2.64833333333333,96.8,-2.14122151453674,3.04025282072429,25.1329943719962,11.1481275558472,1.50844438504015e-08,117.252944620852
THA,Thailand,2022,8.71945138441444,99.8896727867382,6909.35281815827,20762.7952598527,34.3,0.127444162964821,1.89768421219546e-08,-1.61068030486688,87.9772,75.291,176.223,71735329.0,8948704039.79859,6307122238.13722,8.7089569765143,35.0613502144776,143.826648371227,0.51,121.043181132244,2.58037874709827,27.7160192857669,26.3084044839584,3.13833333333333,-1.45349274915803,134.1,148.5,2.4725,89.5,-3.42898859482118,2.39179841841837,22.2320443948162,10.8911014045537,1.51390495981787e-08,132.858712082871
THA,Thailand,2023,8.5627759867239,97.8965539867566,7195.10130919449,21191.4540309274,33.5,0.171705812215805,1.99847065796872e-08,8.47805174421543,89.5353,76.412,168.643,71702435.0,9692019399.81781,7088157732.66007,8.34902897113053,34.8021885808364,141.92241013298,1.37416666666667,118.90466167293,2.01775095328327,25.9020885265046,25.3216642817424,4.28583333333333,2.97300810942537,132.8,143.0,2.49651822749485,90.0,1.64355768679365,2.00183400496619,20.7664684607695,10.6468394686664,1.5486772180917e-08,128.824114152375
THA,Thailand,2024,8.7111266189882,,7346.62022142185,21740.5403219261,,,2.03463225774271e-08,1.36580540798037,90.8672,,,71668011.0,9456168895.28965,8034488795.69298,,35.2935380808081,141.749163785733,1.63333333333333,115.105390266955,2.54182067735289,25.1017251502758,23.7806684438331,4.16916666666667,3.20707152836772,,,1.94370321216881,,2.20678307557943,2.71636831286516,,10.4923732985879,1.52576732483721e-08,136.747107022451
TUR,Turkiye,2010,8.90737962747164,51.589399060468,10698.9699409757,19897.4464836887,38.8,0.315034985542297,3.13740275770163e-08,8.56644420552976,39.82,74.964,84.2159,73142150.0,1819000000.0,190000000.0,17.634323502495,1.5028486296723,52.5066224847327,15.2691666666667,41.3032381164718,8.54219848467686,24.6886326709009,24.0439420609212,,,75.4,86.9,,93.9,-5.70254261669491,1.16274364749147,32.6419229851543,0.920571,1.88149823249259e-08,46.9433366709891
TUR,Turkiye,2011,8.1265846445357,59.3269311955998,11373.6355760885,21760.4291923634,40.0,0.365056276321411,3.05733274428009e-08,6.471879671151,43.0657,74.823,88.0167,74223629.0,1883000000.0,268000000.0,17.9504996057908,1.67495455197133,50.3109063460313,14.105,45.8640297538794,10.9799625273598,25.2874172179057,24.6322351342824,,,89.4,112.7,,91.1,-8.81351105932507,1.91686136260632,30.1444408136135,0.966176,1.8550815026453e-08,53.651583897618
