iso3,year,fin_dev,gdp_pc_ppp,npl_ratio
ABW,1999,44.6205252918288,27765.6532576026,
ABW,2000,44.7997006095161,30245.7069739274,
ABW,2001,46.5928526526089,31920.2390732318,
ABW,2002,50.7912122333912,31888.5087369598,
ABW,2003,55.0125172180073,32507.0843148328,
ABW,2004,51.7852298243845,35059.2730975712,
ABW,2005,54.0607007192211,35098.7976691425,
ABW,2006,53.8841202639004,35937.594655647,
ABW,2007,51.7272559982541,37768.5660142352,
ABW,2008,50.6584576108456,38904.9992484644,
ABW,2009,55.8930411328093,34339.9391559529,
ABW,2010,58.8006572951036,33729.5119105028,
ABW,2011,56.2504341594081,35324.0720643325,
ABW,2012,58.6859032351161,34095.6471714416,
ABW,2013,59.1636851428981,35901.6459605583,
ABW,2014,60.2405386637617,35657.287197053,
ABW,2015,56.6268817632089,35972.8596619304,
ABW,2016,57.2219316866237,36117.5352619835,
ABW,2017,57.246534425591,37524.9149203557,
ABW,2018,55.9651018283957,39287.0597126122,
ABW,2019,59.6493537497553,38543.9072936041,
ABW,2020,82.0939664354264,28854.5972997864,
ABW,2021,68.6460015848153,35104.7868035374,
ABW,2022,60.5316284506998,41758.8957566544,
ABW,2023,56.711929646071,46574.3574197653,
AFE,1999,41.4642840641233,2103.97682210865,
AFE,2000,38.4002042657255,2167.02257668556,
AFE,2001,41.7500201433705,2238.45481735331,
AFE,2002,32.2608341586041,2299.25559694994,
AFE,2003,36.8775460472359,2353.97241620152,
AFE,2004,38.5550006889144,2486.0910302572,
AFE,2005,39.1826719530084,2649.49823401168,
AFE,2006,41.7161333352717,2835.8450154753,
AFE,2007,42.9990296577125,3023.75513209202,
AFE,2008,39.8312500669832,3132.53595885309,
AFE,2009,41.4482194268336,3095.10850412576,
AFE,2010,40.7873907023983,3210.34823169602,
AFE,2011,39.2778490446926,3320.03324719839,
AFE,2012,39.6448129493418,3244.66434472389,
AFE,2013,37.6045167440676,3373.82379296601,
AFE,2014,36.926514371652,3514.32215280343,
AFE,2015,38.5787970024901,3539.81550607078,
AFE,2016,38.4014619654637,3634.44167346493,
AFE,2017,36.5671548625635,3837.72637493461,
AFE,2018,36.221608464885,3723.21642264024,
AFE,2019,36.0543375831147,3801.41318342956,
AFE,2020,36.3533970419781,3708.09464929946,
AFE,2021,34.429895768253,4028.37650387745,
AFE,2022,31.7455965769081,4369.19105632365,
AFE,2023,32.9796288395842,4501.6011005616,
AFG,2000,,813.550255989624,
AFG,2001,,747.688045492413,
AFG,2002,,926.507941011646,
AFG,2003,,966.962032055781,
AFG,2004,,971.633503046666,
AFG,2005,,1076.08735260871,
AFG,2006,4.84285686566253,1121.83447077749,
AFG,2007,6.83998223656721,1286.94984312675,
AFG,2008,9.38832772083979,1333.74726661897,
AFG,2009,10.58413068423,1570.69814517949,
AFG,2010,11.5750442390122,1765.53802830615,49.9013229069412
AFG,2011,4.95918037606027,1744.06062321558,4.6968178252385
AFG,2012,4.17944854276306,1988.42930381554,4.95890140377645
AFG,2013,4.10825623711864,2133.24127098647,4.85228704838131
AFG,2014,3.73272021162013,2224.49074815215,7.7810908959605
AFG,2015,3.78980675535297,2284.07584789349,12.0536179767696
AFG,2016,3.77581257666065,2213.1814410479,11.0743789647307
AFG,2017,3.71038110758839,2335.79586234454,12.2018301907814
AFG,2018,3.44212677085205,2432.27670083336,8.88666018352578
AFG,2019,3.1735454944513,2583.48533239877,
AFG,2020,2.99421260598445,2561.98176058622,
AFG,2021,,2144.16657002819,
AFG,2022,,2122.99581512663,
AFG,2023,,2201.72290691677,
AFW,1999,8.52451895218491,2377.36721386052,
AFW,2000,8.53691159676637,2457.44511081693,
AFW,2001,9.16700363222922,2575.01701115577,
AFW,2002,8.2873394798056,2807.40633077209,
AFW,2003,8.91677590704845,2948.09519105211,
AFW,2004,8.65360134590539,3184.34532967062,
AFW,2005,8.62991505602366,3380.21919361137,
AFW,2006,8.46247690884353,3569.23524015664,
AFW,2007,12.0590593550325,3762.1198490225,
AFW,2008,15.1410993171568,3963.39403660372,
AFW,2009,16.3142676026457,4122.85297128482,
AFW,2010,12.9311820426651,4346.83363286366,
AFW,2011,11.7872496114261,4531.80294651238,
AFW,2012,11.5318464140321,4661.17527587174,
AFW,2013,12.4959261164019,4861.15062207875,
AFW,2014,13.9042205203537,5114.6922102121,
AFW,2015,14.3575477093029,5056.73943872822,
AFW,2016,15.7527838717366,4965.33022911623,
AFW,2017,14.7798945125068,5026.648499102,
AFW,2018,13.1486145437947,5179.3599900769,
AFW,2019,10.6574909950697,5484.24941762408,
AFW,2020,11.2043333538279,5414.04254032675,
AFW,2021,11.9662131791178,5690.96774324307,
AFW,2022,12.4341693761045,6220.12287462026,
AFW,2023,15.2005410362957,6520.28031254058,
AGO,1999,2.52098260701182,3618.77608190863,
AGO,2000,1.96653982570438,3689.53780847244,
AGO,2001,3.61837428065332,3801.63313374818,
