period,source_code,source_name,destination_code,destination_name,corridor,avg_cost_pct_200usd,avg_cost_pct_500usd,avg_fx_margin_200usd,avg_fx_margin_500usd,num_providers
2016_2Q,CZE,Czech Republic,VNM,Vietnam,CZEVNM,9.052222222222222,4.906666666666666,1.832222222222222,1.832222222222222,9
2016_2Q,DEU,Germany,AFG,Afghanistan,DEUAFG,9.54,5.76,3.18,3.18,2
2016_2Q,DEU,Germany,ALB,Albania,DEUALB,7.597142857142857,4.744285714285715,1.3728571428571428,1.3728571428571428,7
2016_2Q,DEU,Germany,BGR,Bulgaria,DEUBGR,5.52,3.451111111111111,0.9611111111111111,0.9611111111111111,9
2016_2Q,DEU,Germany,BIH,Bosnia and Herzegovina,DEUBIH,9.513571428571428,5.3707142857142856,1.3578571428571429,1.3578571428571429,14
2016_2Q,DEU,Germany,CHN,China,DEUCHN,12.078333333333333,6.426666666666667,1.2266666666666666,1.2266666666666666,12
2016_2Q,DEU,Germany,GHA,Ghana,DEUGHA,9.093333333333334,6.964166666666666,2.7066666666666666,2.7066666666666666,12
2016_2Q,DEU,Germany,HRV,Croatia,DEUHRV,7.030909090909091,4.802727272727273,2.3518181818181816,2.3518181818181816,11
2016_2Q,DEU,Germany,HUN,Hungary,DEUHUN,6.67,4.35,1.3977777777777778,1.3977777777777778,9
2016_2Q,DEU,Germany,IND,India,DEUIND,10.213125,5.779375,2.2725,2.2725,16
2016_2Q,DEU,Germany,KGZ,Kyrgyz Republic,DEUKGZ,7.843333333333333,4.616666666666666,1.1199999999999999,1.1199999999999999,6
2016_2Q,DEU,Germany,KSV,Kosovo,DEUKSV,5.655,3.1649999999999996,0.0,0.0,6
2016_2Q,DEU,Germany,LBN,Lebanon,DEULBN,13.365,7.267,1.8379999999999999,1.8379999999999999,10
2016_2Q,DEU,Germany,MAR,Morocco,DEUMAR,8.632307692307693,6.273846153846154,3.016923076923077,3.016923076923077,13
2016_2Q,DEU,Germany,MDA,Moldova,DEUMDA,11.404285714285715,5.935714285714285,0.8757142857142858,0.8757142857142858,14
2016_2Q,DEU,Germany,MKD,"Macedonia, FYR",DEUMKD,8.373333333333333,3.855,0.15833333333333333,0.15833333333333333,6
2016_2Q,DEU,Germany,NGA,Nigeria,DEUNGA,8.351,5.943,1.7600000000000002,1.7600000000000002,10
2016_2Q,DEU,Germany,ROU,Romania,DEUROU,5.172,3.7009999999999996,1.8760000000000001,1.8760000000000001,20
2016_2Q,DEU,Germany,SRB,Serbia,DEUSRB,8.931666666666667,4.440833333333333,0.21833333333333335,0.21833333333333335,12
2016_2Q,DEU,Germany,TGO,Togo,DEUTGO,7.279999999999999,4.419,0.097,0.097,10
2016_2Q,DEU,Germany,THA,Thailand,DEUTHA,13.731428571428571,8.26,2.812857142857143,2.812857142857143,7
2016_2Q,DEU,Germany,TJK,Tajikistan,DEUTJK,9.465714285714286,6.177142857142857,2.4757142857142855,2.4757142857142855,7
2016_2Q,DEU,Germany,TUR,Turkey,DEUTUR,6.089375,4.314375,1.9825,1.9825,16
2016_2Q,DEU,Germany,UKR,Ukraine,DEUUKR,6.464285714285714,4.362857142857143,1.3285714285714287,1.3285714285714287,7
2016_2Q,DEU,Germany,VNM,Vietnam,DEUVNM,11.176666666666668,6.961111111111111,2.131111111111111,2.131111111111111,9
2016_2Q,ESP,Spain,BOL,Bolivia,ESPBOL,5.852222222222222,3.802222222222222,2.238888888888889,2.238888888888889,9
2016_2Q,ESP,Spain,BRA,Brazil,ESPBRA,6.742,4.772,3.2079999999999997,3.2079999999999997,10
2016_2Q,ESP,Spain,CHN,China,ESPCHN,18.146666666666665,9.663333333333334,3.8633333333333333,3.8633333333333333,3
2016_2Q,ESP,Spain,COL,Colombia,ESPCOL,5.6454545454545455,3.578181818181818,2.1054545454545455,2.1054545454545455,11
2016_2Q,ESP,Spain,NGA,Nigeria,ESPNGA,9.123750000000001,5.1575,3.375,2.8575,8
2016_2Q,ESP,Spain,PER,Peru,ESPPER,5.16875,3.0012499999999998,1.33875,1.33875,8
2016_2Q,ESP,Spain,PHL,Philippines,ESPPHL,4.412,2.2800000000000002,0.626,0.626,5
2016_2Q,FRA,France,CHN,China,FRACHN,9.525,6.381,1.424,1.424,10
2016_2Q,FRA,France,CMR,Cameroon,FRACMR,4.5725,3.7775,0.125,0.125,8
2016_2Q,FRA,France,IND,India,FRAIND,7.8118181818181816,4.39,1.1090909090909091,1.1090909090909091,11
2016_2Q,FRA,France,SEN,Senegal,FRASEN,4.967272727272728,3.819090909090909,0.0,0.0,11
2016_2Q,FRA,France,VNM,Vietnam,FRAVNM,8.2725,5.91875,1.89625,1.89625,8
2016_2Q,GBR,United Kingdom,AFG,Afghanistan,GBRAFG,9.258333333333335,6.621666666666667,4.078333333333333,4.078333333333333,6
2016_2Q,GBR,United Kingdom,ALB,Albania,GBRALB,7.382000000000001,5.680000000000001,3.5833333333333335,3.5833333333333335,15
2016_2Q,GBR,United Kingdom,BGD,Bangladesh,GBRBGD,3.98,1.9166666666666667,0.06888888888888887,0.06888888888888887,18
2016_2Q,GBR,United Kingdom,BGR,Bulgaria,GBRBGR,10.60125,6.648125,3.17625,3.17625,16
2016_2Q,GBR,United Kingdom,BRA,Brazil,GBRBRA,5.929166666666667,4.1883333333333335,3.0283333333333338,3.0283333333333338,12
