country_code,year,financial_development_overall,financial_institutions,financial_markets,d_financial_development_overall,growth_financial_development_overall,d_financial_institutions,growth_financial_institutions,d_financial_markets,growth_financial_markets
1A,1999,0.202236866954292,0.202236866954292,,,,,,,
1A,2000,0.18881193150013414,0.18881193150013414,,-0.01342493545415785,-0.0663822361191545,-0.01342493545415785,-0.0663822361191545,,
1A,2001,0.19925490228877898,0.19925490228877898,,0.01044297078864484,0.055308849952829586,0.01044297078864484,0.055308849952829586,,
1A,2002,0.20351296299671812,0.20351296299671812,,0.004258060707939132,0.021369916920628285,0.004258060707939132,0.021369916920628285,,
1A,2003,0.19702038594554888,0.19702038594554888,,-0.006492577051169235,-0.03190252333594068,-0.006492577051169235,-0.03190252333594068,,
1A,2004,0.1928019234056593,0.1928019234056593,,-0.004218462539889584,-0.02141129974770961,-0.004218462539889584,-0.02141129974770961,,
1A,2005,0.1989816029784194,0.1989816029784194,,0.006179679572760111,0.03205196018588441,0.006179679572760111,0.03205196018588441,,
1A,2006,0.19908805794470605,0.19908805794470605,,0.00010645496628663986,0.0005349990385703496,0.00010645496628663986,0.0005349990385703496,,
1A,2007,0.21807889434119856,0.21807889434119856,,0.018990836396492516,0.09538912877319317,0.018990836396492516,0.09538912877319317,,
1A,2008,0.22628491271258075,0.22628491271258075,,0.008206018371382184,0.037628668267839505,0.008206018371382184,0.037628668267839505,,
1A,2009,0.2656304753986566,0.2656304753986566,,0.039345562686075836,0.17387620860101793,0.039345562686075836,0.17387620860101793,,
1A,2010,0.23846016039785942,0.23846016039785942,,-0.02717031500079717,-0.10228613625759664,-0.02717031500079717,-0.10228613625759664,,
1A,2011,0.21810322810752164,0.21810322810752164,,-0.020356932290337776,-0.08536827391365165,-0.020356932290337776,-0.08536827391365165,,
1A,2012,0.21375940787829972,0.21375940787829972,,-0.0043438202292219175,-0.01991635000964076,-0.0043438202292219175,-0.01991635000964076,,
1A,2013,0.22308852925093844,0.22308852925093844,,0.009329121372638721,0.043643091385947796,0.009329121372638721,0.043643091385947796,,
1A,2014,0.24328232355512402,0.24328232355512402,,0.02019379430418558,0.09051919599806424,0.02019379430418558,0.09051919599806424,,
1A,2015,0.2962300963828546,0.2962300963828546,,0.052947772827730555,0.21763921050241608,0.052947772827730555,0.21763921050241608,,
1A,2016,0.3156270825204581,0.3156270825204581,,0.019396986137603545,0.06547945794317411,0.019396986137603545,0.06547945794317411,,
1A,2017,0.3027391940278848,0.3027391940278848,,-0.01288788849257333,-0.04083264461863145,-0.01288788849257333,-0.04083264461863145,,
1W,1999,0.4731777274474869,0.4731777274474869,,,,,,,
1W,2000,0.4744058208794235,0.4744058208794235,,0.0012280934319366388,0.00259541681845743,0.0012280934319366388,0.00259541681845743,,
1W,2001,0.4244399021595919,0.4244399021595919,,-0.04996591871983164,-0.10532315692756045,-0.04996591871983164,-0.10532315692756045,,
1W,2002,0.4258059676693256,0.4258059676693256,,0.001366065509733727,0.003218513393257849,0.001366065509733727,0.003218513393257849,,
1W,2003,0.43486446400637147,0.43486446400637147,,0.009058496337045863,0.02127376557596894,0.009058496337045863,0.02127376557596894,,
1W,2004,0.44090299891982865,0.44090299891982865,,0.006038534913457183,0.013886016019392988,0.006038534913457183,0.013886016019392988,,
1W,2005,0.45140794878833845,0.45140794878833845,,0.010504949868509805,0.023825988696484224,0.010504949868509805,0.023825988696484224,,
1W,2006,0.4641547767363415,0.4641547767363415,,0.012746827948003026,0.028237934183963365,0.012746827948003026,0.028237934183963365,,
1W,2007,0.48048817755048984,0.48048817755048984,,0.016333400814148358,0.03518955665822299,0.016333400814148358,0.03518955665822299,,
1W,2008,0.48743745177535525,0.48743745177535525,,0.006949274224865409,0.014462945290959262,0.006949274224865409,0.014462945290959262,,
1W,2009,0.49293103141473266,0.49293103141473266,,0.0054935796393774106,0.011270327340192177,0.0054935796393774106,0.011270327340192177,,
1W,2010,0.4788069245368986,0.4788069245368986,,-0.014124106877834053,-0.02865331248734182,-0.014124106877834053,-0.02865331248734182,,
1W,2011,0.4718421735265188,0.4718421735265188,,-0.006964751010379799,-0.014546053228273736,-0.006964751010379799,-0.014546053228273736,,
1W,2012,0.4718115817255714,0.4718115817255714,,-3.0591800947388226e-05,-6.483481694474769e-05,-3.0591800947388226e-05,-6.483481694474769e-05,,
1W,2013,0.4762567758879878,0.4762567758879878,,0.004445194162416399,0.00942154524091765,0.004445194162416399,0.00942154524091765,,
1W,2014,0.4816385380861899,0.4816385380861899,,0.005381762198202078,0.01130012730667751,0.005381762198202078,0.01130012730667751,,
1W,2015,0.4978361230253264,0.4978361230253264,,0.016197584939136533,0.03363016797513407,0.016197584939136533,0.03363016797513407,,
1W,2016,0.5042910357920606,0.5042910357920606,,0.0064549127667341555,0.01296593892686615,0.0064549127667341555,0.01296593892686615,,
1W,2017,0.49840607291781885,0.49840607291781885,,-0.005884962874241728,-0.011669774904879193,-0.005884962874241728,-0.011669774904879193,,
1W,2018,0.5077370329613122,0.5077370329613122,,0.009330960043493375,0.01872160182332272,0.009330960043493375,0.01872160182332272,,
1W,2019,0.5155998577634912,0.5155998577634912,,0.007862824802178925,0.015486017941846786,0.007862824802178925,0.015486017941846786,,
1W,2020,0.5674170276290602,0.5674170276290602,,0.05181716986556906,0.10049880558605184,0.05181716986556906,0.10049880558605184,,
1W,2021,0.5506100276658693,0.5506100276658693,,-0.016806999963190905,-0.029620189639741,-0.016806999963190905,-0.029620189639741,,
